Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Ecuador,"239,292","343,598","467,351","714,346","946,205","1,547,008","1,003,564","1,495,612","2,224,132","2,613,996","2,966,846","3,245,139","2,893,705","2,269,071","2,959,701","3,719,935","3,628,574","3,252,314","5,483,432","6,288,136"
Egypt,"936,758","1,388,435","1,934,036","2,975,501","4,468,099","5,874,260","5,107,359","6,040,984","7,283,233","8,223,921","8,362,675","10,460,510","11,962,663","10,597,944","9,512,991","12,020,880","12,200,705","13,627,747","18,264,733","17,170,217"
El Salvador,"157,556","196,884","193,896","315,225","353,880","374,472","257,452","365,174","449,992","490,528","521,956","601,893","741,316","773,817","772,152","929,280","1,001,251","938,236","1,511,199","1,658,943"
Equatorial Guinea,"5,048","10,125","18,801","41,108","92,791","277,391","358,424","456,241","266,317","361,434","357,517","352,515","263,693","150,416","165,966","145,170","113,204","122,120","123,984","230,727"
Eritrea,"5,467","7,542","7,829","37,946","26,934","28,978","39,478","38,800","148,156","53,532","137,957","88,144","135,395","69,317","43,063","42,841","48,543","70,486","69,957","148,268"
Eswatini,"6,683","11,491","11,031","7,223","13,229","20,604","18,053","28,974","30,686","28,920","24,762","26,528","31,262","42,386","34,167","36,439","42,484","39,892","51,489","81,955"
Ethiopia,"152,747","194,055","284,001","430,770","778,360","1,230,719","1,252,460","1,209,615","885,361","1,529,870","1,868,466","2,922,309","3,445,410","3,247,689","2,669,946","2,537,682","2,323,499","2,233,307","2,290,951","2,216,944"
Europe Othr. Nes,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,"1,407","1,063","14,739"
Faroe Islands,0,0,0,32,617,"1,287",283,"1,466",406,"1,280","1,445","1,879",0,0,0,0,0,0,,
Fiji,"25,966","32,532","43,000","67,997","64,498","91,088","96,554","127,636","171,186","214,023","244,498","287,254","330,566","390,105","366,250","456,332","350,294","322,178","397,395","502,892"
