Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Turkmenistan,"4,096","13,889","19,084","16,012","50,141","28,440","38,491","1,044,519","4,693,173","8,673,382","8,893,257","9,516,158","7,827,598","5,563,294","6,575,125","8,119,370","867,841","772,845","509,152","10,313,559"
Mongolia,"283,950","461,068","541,028","1,147,483","1,351,649","1,525,607","1,338,679","2,549,854","3,700,776","3,944,214","3,509,547","5,102,087","3,780,384","3,610,183","5,097,219","6,341,575","6,334,357","5,124,562","6,897,317","9,337,269"
Sweden,"2,715,895","3,339,569","3,122,198","3,448,568","4,141,800","5,038,148","5,453,817","5,907,905","7,116,606","6,922,716","6,987,099","6,791,543","6,421,431","6,140,482","7,866,680","8,946,992","9,144,313","9,518,267","9,871,906","9,162,741"
Israel,"690,402","942,863","1,073,542","1,314,405","1,653,938","1,792,823","1,524,121","2,607,391","3,037,705","2,922,831","3,181,317","3,140,637","2,804,185","3,176,561","4,197,393","4,631,374","5,154,185","6,285,595","7,535,177","8,966,864"
Argentina,"2,729,076","3,254,874","3,799,210","3,700,185","6,334,230","9,361,350","4,306,017","6,804,128","6,256,572","6,560,806","6,085,768","5,246,944","5,714,331","5,121,535","4,733,007","3,518,716","7,390,979","6,814,457","7,132,137","8,593,470"
Norway,"865,382","1,397,798","1,143,960","1,250,356","1,614,859","2,147,995","3,059,495","3,230,463","3,621,479","3,067,639","3,467,985","4,467,693","4,147,507","3,217,490","3,127,513","3,418,446","3,909,964","7,367,839","10,761,967","7,974,773"
"Hong Kong, China","11,118,661","11,796,722","12,224,784","10,779,763","12,804,324","12,915,846","8,711,579","12,260,255","15,492,483","17,895,804","16,206,575","12,621,374","12,772,656","16,953,679","7,420,811","8,561,184","9,067,198","6,982,776","9,700,209","7,846,430"
Colombia,"60,459","175,507","205,154","263,817","1,095,796","1,125,408","974,821","2,103,363","2,394,851","3,156,664","3,620,271","7,598,890","3,538,720","2,510,099","3,902,252","5,902,312","6,408,278","4,336,016","5,614,109","7,042,164"
Ecuador,"39,725","92,217","42,718","87,202","141,191","849,022","763,157","507,159","579,890","938,410","775,263","1,064,512","1,239,115","939,684","1,123,352","1,989,541","3,642,230","4,320,756","5,459,574","6,800,248"
"Iran, Islamic Republic of","3,307,360","4,490,694","6,786,678","9,958,456","13,301,528","19,594,195","13,286,547","18,300,891","30,332,973","24,869,408","25,389,864","27,503,850","16,034,629","14,952,884","18,544,260","21,098,883","13,445,630","6,441,557","6,500,367","6,355,060"
Zambia,"47,882","171,105","252,062","270,356","394,862","522,498","1,272,464","2,578,407","2,775,940","2,686,560","3,047,866","3,060,749","1,815,019","2,189,915","3,071,929","4,132,385","3,264,542","3,506,044","4,385,251","5,751,936"
Denmark,"964,146","1,205,774","1,190,358","1,309,134","1,839,868","2,597,147","2,290,654","2,645,588","2,813,452","2,904,080","3,375,699","4,057,315","4,096,564","4,266,020","4,200,855","4,388,543","4,957,640","6,011,297","6,976,100","5,717,017"
Congo,"814,659","1,569,061","2,278,030","2,791,642","2,836,696","3,731,701","1,738,812","3,122,347","4,672,291","4,555,407","5,712,191","5,479,018","2,617,465","2,277,038","3,796,714","6,702,542","6,102,224","3,371,849","4,673,954","5,595,387"
Czech Republic,"297,219","442,243","371,779","516,703","830,799","1,002,704","1,131,849","1,727,987","2,318,996","2,406,877","2,614,923","2,986,689","2,781,969","2,947,342","3,693,173","4,406,186","4,628,211","5,133,531","6,053,562","5,419,432"
Poland,"359,158","487,270","557,320","667,121","1,112,248","1,394,432","1,504,764","1,696,613","2,047,976","1,997,766","2,231,797","2,934,739","2,744,035","2,532,429","3,349,340","3,646,181","3,941,495","4,320,382","5,541,768","5,059,645"
Hungary,"301,364","475,591","365,529","699,306","1,210,080","1,382,204","1,466,426","2,197,692","2,452,217","2,323,098","2,715,148","3,259,900","2,871,271","3,462,511","4,082,280","4,338,742","3,745,020","4,282,898","5,566,041","5,049,297"
Guinea,"10,452","14,795","3,002","12,281","92,357","25,303","6,240","54,997","15,567","10,995","84,092","41,345","26,709","649,479","1,549,831","2,246,148","2,456,090","2,438,851","2,792,446","4,529,563"
Türkiye,"532,672","591,381","621,744","765,952","1,293,801","1,962,933","1,745,485","3,164,059","3,123,228","3,511,810","4,486,234","3,705,396","2,959,585","2,775,455","3,772,268","3,762,714","3,496,820","3,731,027","5,049,493","4,520,330"
Uruguay,"75,750","110,301","173,326","270,000","341,761","623,955","733,762","1,151,841","1,413,379","1,911,220","2,466,419","2,629,094","2,410,638","1,949,320","2,649,883","2,558,705","2,967,714","2,367,323","3,623,471","4,457,471"
Ukraine,"1,246,065","1,044,609","784,801","437,169","665,634","1,194,017","2,172,540","2,163,583","3,264,665","3,031,234","3,272,867","3,483,544","3,549,959","2,475,717","2,326,171","2,635,776","4,509,009","8,001,752","9,841,410","4,355,197"
Gabon,"300,603","400,286","351,678","816,761","1,095,733","1,792,613","713,886","969,744","577,976","618,094","898,644","1,607,935","1,101,221","1,397,924","2,246,013","2,964,328","4,646,659","3,244,067","2,584,613","3,967,190"
Papua New Guinea,"231,108","243,856","309,464","391,849","468,392","515,208","357,725","777,486","815,220","642,259","797,690","1,403,233","1,885,263","1,617,946","2,064,033","2,819,084","3,023,933","2,270,896","2,988,268","3,853,501"
Pakistan,"574,936","594,749","833,169","1,007,214","1,104,226","1,006,800","1,260,256","1,730,949","2,118,460","3,140,394","3,196,840","2,753,870","2,477,066","1,906,332","1,830,041","2,179,816","1,806,126","2,124,874","3,584,866","3,413,278"
Lao People's Democratic Republic,"11,202","12,654","25,545","49,647","85,919","134,259","367,319","601,490","827,588","787,758","1,010,079","1,777,883","1,316,053","1,346,768","1,567,098","2,029,603","2,157,000","2,088,438","2,673,961","3,342,452"
Romania,"470,103","326,779","292,306","230,911","281,472","359,896","433,095","755,267","947,048","979,776","1,207,502","1,520,667","1,298,895","1,442,965","1,820,663","2,170,014","2,325,652","2,638,405","3,507,141","3,074,650"
"Libya, State of","40,946","416,758","941,719","1,693,946","1,547,495","2,588,993","3,173,884","4,515,615","2,063,575","6,375,902","2,038,928","726,370","949,536","370,966","1,356,945","4,742,280","4,816,497","827,065","3,271,548","2,933,438"
Ghana,"34,309","80,383","96,006","79,678","53,522","93,400","79,622","123,382","363,185","643,548","1,203,330","1,452,597","1,295,794","1,301,207","1,850,413","2,426,140","2,576,406","1,774,499","1,466,777","2,344,008"
Uzbekistan,"200,251","403,066","450,495","565,937","363,450","328,882","349,419","1,300,780","807,315","1,091,833","1,938,093","1,597,910","1,266,792","1,606,926","1,474,606","2,324,395","1,108,431","915,719","1,371,786","2,276,414"
Brunei Darussalam,"312,373","251,055","207,728","215,312","246,077","88,885","282,146","664,330","566,816","373,085","89,804","189,717","97,273","225,718","351,840","247,641","452,877","1,475,994","2,221,839","2,247,559"
Costa Rica,"560,900","641,290","922,082","1,747,274","2,306,640","2,270,521","2,646,447","3,106,845","3,844,030","5,270,200","4,758,054","4,186,269","826,155","696,909","790,806","776,351","722,559","668,609","815,491","2,008,903"
New Caledonia,"6,166","57,782","78,413","163,674","378,740","111,204","131,891","56,727","80,846","149,365","129,247","334,191","484,180","497,590","777,809","1,107,650","1,087,810","1,169,305","1,111,417","1,880,928"
Cambodia,"26,001","29,932","27,305","35,091","51,066","38,828","36,892","93,627","184,298","215,314","363,635","482,915","666,287","830,091","1,005,217","1,377,338","1,444,323","1,498,509","2,100,436","1,838,524"
Belarus,"96,721","153,954","490,442","428,773","612,588","497,824","529,594","476,097","599,466","663,130","580,512","738,277","1,010,510","435,117","515,322","570,989","914,860","888,693","1,090,693","1,804,433"
Nigeria,"71,659","463,216","526,879","277,747","537,080","508,381","896,526","1,071,622","1,583,680","1,273,793","1,546,603","2,656,039","1,237,368","908,837","1,623,769","1,858,994","2,656,375","2,485,363","3,034,655","1,599,363"
Equatorial Guinea,"411,887","996,650","1,437,834","2,537,592","1,697,283","2,267,872","1,055,071","598,657","1,672,947","1,822,803","2,469,918","3,217,190","1,165,362","632,269","1,466,410","2,131,556","1,723,064","1,182,549","1,215,142","1,516,384"
Area Nes,"12,014","37,501","19,156","43,944","59,425","58,494","37,007","1,389,056","6,041,988","6,266,514","4,650,448","1,546,529","1,282,840","1,328,603","1,396,751","520,905","3,617,863","2,123,362","2,151,737","1,468,663"
Serbia,0,0,0,"6,981","13,116","12,281","28,643","55,116","77,891","101,566","180,127","112,741","133,912","161,821","211,537","224,519","360,613","498,177","984,890","1,375,034"
Mozambique,"26,592","44,286","73,527","79,772","124,248","125,882","177,554","201,078","257,241","403,320","454,875","1,649,822","452,042","480,133","527,838","651,384","713,242","579,499","1,141,127","1,340,116"
Guyana,300,"1,175","7,569","17,682","18,105","17,359","10,747","17,280","14,528","26,057","21,129","40,221","49,373","28,249","38,383","43,083","45,987","308,865","319,908","1,302,762"
Zimbabwe,"167,080","141,178","157,918","139,093","142,769","148,214","140,850","246,058","464,055","584,427","687,839","835,714","766,420","727,602","872,842","890,333","973,925","872,724","960,121","1,298,454"
Bulgaria,"58,733","67,141","89,119","81,851","158,004","216,782","140,997","322,999","459,982","840,157","956,743","984,860","753,035","583,806","965,340","1,149,083","1,164,137","1,370,982","1,797,759","1,271,674"
Panama,"28,615","14,915","22,197","14,302","7,888","49,744","28,809","25,287","42,858","53,026","43,944","127,495","315,041","37,549","61,833","81,823","452,028","469,415","1,167,182","1,244,390"
